,Date,Time,Location,Operator,Flight #,Route,Type,Registration,cn/In,Aboard,Fatalities,Ground,Summary,Percent Fatalities,Survivors,Year,Month,Day,DayOfWeek,DayOfYear
0,1908-09-17,17:18,"Fort Myer, Virginia",Military - U.S. Army,,Demonstration,Wright Flyer III,,1,2.0,1.0,0.0,demonstration flight u army flyer flown orville wright nose dived ground height approximately 75 feet killing lt thomas e selfridge passenger first recorded airplane fatality history one two propellers separated flight tearing loose wires bracing rudder causing loss control aircraft orville wright suffered broken ribs pelvis leg selfridge suffered crushed skull died short time later,50.0,1.0,1908,9,17,3,261
1,1912-07-12,06:30,"AtlantiCity, New Jersey",Military - U.S. Navy,,Test flight,Dirigible,,,5.0,5.0,0.0,first u dirigible akron exploded offshore altitude 1 000 ft test flight,100.0,0.0,1912,7,12,4,194
2,1913-08-06,,"Victoria, British Columbia, Canada",Private,-,,Curtiss seaplane,,,1.0,1.0,0.0,first fatal airplane accident canada occurred american barnstormer john bryant california aviator killed,100.0,0.0,1913,8,6,2,218
3,1913-09-09,18:30,Over the North Sea,Military - German Navy,,,Zeppelin L-1 (airship),,,20.0,14.0,0.0,airship flew thunderstorm encountered severe downdraft crashing 20 miles north helgoland island sea ship broke two control car immediately sank drowning occupants,70.0,6.0,1913,9,9,1,252
4,1913-10-17,10:30,"Near Johannisthal, Germany",Military - German Navy,,,Zeppelin L-2 (airship),,,30.0,30.0,0.0,hydrogen gas vented sucked forward engine ignited causing airship explode burn 3 000 ft,100.0,0.0,1913,10,17,4,290
5,1915-03-05,01:00,"Tienen, Belgium",Military - German Navy,,,Zeppelin L-8 (airship),,,41.0,21.0,0.0,crashed trees attempting land shot british french aircraft,51.21951219512195,20.0,1915,3,5,4,64
6,1915-09-03,15:20,"Off Cuxhaven, Germany",Military - German Navy,,,Zeppelin L-10 (airship),,,19.0,19.0,0.0,exploded burned near neuwerk island hydrogen gas vented ignited lightning,100.0,0.0,1915,9,3,4,246
7,1916-07-28,,"Near Jambol, Bulgeria",Military - German Army,,,Schutte-Lanz S-L-10 (airship),,,20.0,20.0,0.0,crashed near black sea cause unknown,100.0,0.0,1916,7,28,4,210
8,1916-09-24,01:00,"Billericay, England",Military - German Navy,,,Zeppelin L-32 (airship),,,22.0,22.0,0.0,shot british aircraft crashing flames,100.0,0.0,1916,9,24,6,268
9,1916-10-01,23:45,"Potters Bar, England",Military - German Navy,,,Zeppelin L-31 (airship),,,19.0,19.0,0.0,shot flames british 39th home defence squadron,100.0,0.0,1916,10,1,6,275
10,1916-11-21,,"Mainz, Germany",Military - German Army,,,Super Zeppelin (airship),,,28.0,27.0,0.0,crashed storm,96.42857142857144,1.0,1916,11,21,1,326
11,1916-11-28,23:45,"Off West Hartlepool, England",Military - German Navy,,,Zeppelin L-34 (airship),,,20.0,20.0,0.0,shot british anti aircraft fire aircraft crashed north sea,100.0,0.0,1916,11,28,1,333
12,1917-03-04,,"Near Gent, Belgium",Military - German Army,,,Airship,,,20.0,20.0,0.0,caught fire crashed,100.0,0.0,1917,3,4,6,63
13,1917-03-30,,Off Northern Germany,Military - German Navy,,,Schutte-Lanz S-L-9 (airship),,,23.0,23.0,0.0,struck lightning crashed baltisea,100.0,0.0,1917,3,30,4,89
14,1917-05-14,05:15,"Near Texel Island, North Sea",Military - German Navy,,,Zeppelin L-22 (airship),,,21.0,21.0,0.0,crashed sea altitude 3 000 ft hit british aircraft fire,100.0,0.0,1917,5,14,0,134
15,1917-06-14,08:45,"Off Vlieland Island, North Sea",Military - German Navy,,,Zeppelin L-43 (airship),,,24.0,24.0,0.0,shot british aircraft,100.0,0.0,1917,6,14,3,165
16,1917-08-21,07:00,Off western Denmark,Military - German Navy,,,Zeppelin L-23 (airship),,,18.0,18.0,0.0,shot british aircraft,100.0,0.0,1917,8,21,1,233
17,1917-10-20,07:45,"Near Luneville, France",Military - German Navy,,,Zeppelin L-44 (airship),,,18.0,18.0,0.0,shot french anti aircraft fire,100.0,0.0,1917,10,20,5,293
18,1918-04-07,21:30,Over the Mediterranean,Military - German Navy,,,Zeppelin L-59 (airship),,,23.0,23.0,0.0,exploded crashed sea southern coast italy,100.0,0.0,1918,4,7,6,97
19,1918-05-10,,"Off Helgoland Island, Germany",Military - German Navy,,,Zeppelin L-70 (airship),,,22.0,22.0,0.0,shot british aircraft crashing height 17 000 ft,100.0,0.0,1918,5,10,4,130
20,1918-08-11,10:00,"Ameland Island, North Sea",Military - German Navy,,,Zeppelin L-53 (airship),,,19.0,19.0,0.0,shot british aircraft,100.0,0.0,1918,8,11,6,223
21,1918-12-16,,"Elizabeth, New Jersey",US Aerial Mail Service,,,De Havilland DH-4,97,,1.0,1.0,0.0,nan,100.0,0.0,1918,12,16,0,350
22,1919-05-25,,"Cleveland, Ohio",US Aerial Mail Service,,,De Havilland DH-4,61,,1.0,1.0,0.0,caught fire midair pilot leaped plane death plane began go dive,100.0,0.0,1919,5,25,6,145
23,1919-07-19,,"Dix Run, Pennsylvania",US Aerial Mail Service,,,De Havilland DH-4,82,,1.0,1.0,0.0,nan,100.0,0.0,1919,7,19,5,200
24,1919-10-02,,"Newcastle, England",Aircraft Transport and Travel,,,De Havilland DH-4,,,1.0,1.0,0.0,nan,100.0,0.0,1919,10,2,3,275
25,1919-10-14,,"Cantonsville, Maryland",US Aerial Mail Service,,,Curtiss R-4LM,32,,1.0,1.0,0.0,nan,100.0,0.0,1919,10,14,1,287
26,1919-10-20,,English Channel,Aircraft Transport and Travel,,,De Havilland DH-4,G-EAHG,,13.0,11.0,0.0,nan,,2.0,1919,10,20,0,293
27,1919-10-30,,"Long Valley, New Jersey",US Aerial Mail Service,,,De Havilland DH.4,77,,1.0,1.0,0.0,nan,100.0,0.0,1919,10,30,3,303
28,1920-03-10,,"New Paris, Indiana",US Aerial Mail Service,,,De Havilland DH-4,65,,1.0,1.0,0.0,nan,100.0,0.0,1920,3,10,2,70
29,1920-03-30,,"Newark, New Jersey",US Aerial Mail Service,,,De Havilland DH-4,72,,1.0,1.0,0.0,nan,100.0,0.0,1920,3,30,1,90
30,1920-04-10,,"Newark, New Jersey",US Aerial Mail Service,,,Curtiss R-4LM,49,,2.0,1.0,0.0,nan,50.0,1.0,1920,4,10,5,101
31,1920-04-11,,"Heller Field, New Jersey",US Aerial Mail Service,,,Curtiss JN-4H,44,,2.0,1.0,0.0,nan,50.0,1.0,1920,4,11,6,102
32,1920-05-12,,"Oskaloosa, Iowa",US Aerial Mail Service,,,De Havilland DH-4,79,,2.0,1.0,0.0,nan,50.0,1.0,1920,5,12,2,133
33,1920-06-06,,"Cleveland, Ohio",US Aerial Mail Service,,,De Havilland DH-4,204,,1.0,1.0,0.0,nan,100.0,0.0,1920,6,6,6,158
34,1920-08-16,,"Bedford, England",By Air,,,Armstrong-Whitworth F-K-8,G-EALW,,1.0,1.0,0.0,nan,100.0,0.0,1920,8,16,0,229
35,1920-08-16,,"College Park, Maryland",US Aerial Mail Service,,,De Havilland DH-4,317,,1.0,1.0,0.0,nan,100.0,0.0,1920,8,16,0,229
36,1920-09-01,,"Morristown, New Jersey",US Aerial Mail Service,,,Junkers JL-6,305,,2.0,2.0,0.0,nan,100.0,0.0,1920,9,1,2,245
37,1920-09-15,,"Pemberville, Ohio",US Aerial Mail Service,,,Junkers F-13,308,,2.0,2.0,0.0,nan,100.0,0.0,1920,9,15,2,259
38,1920-09-27,,"Hillersburg, Pennsylvania",US Aerial Mail Service,,,De Havilland DH-4,316,,1.0,1.0,0.0,nan,100.0,0.0,1920,9,27,0,271
39,1920-10-02,,"Off Port Vendres, France",Latecoere Airlines,,,Salmson 2-A-2,F-ALAI,31,2.0,2.0,0.0,nan,100.0,0.0,1920,10,2,5,276
40,1920-10-05,,"Valencia, Spain",Latecoere Airlines,,,Breguet 14,F-ALTA,20,2.0,2.0,0.0,crashed landing,100.0,0.0,1920,10,5,1,279
41,1920-10-15,,"Batavia, Illinois",US Aerial Mail Service,,,De Havilland DH-4,76,,1.0,1.0,0.0,nan,100.0,0.0,1920,10,15,4,289
42,1920-11-07,,"Tie Siding, Wyoming",US Aerial Mail Service,,,De Havilland DH-4,,178,1.0,1.0,0.0,nan,100.0,0.0,1920,11,7,6,312
43,1920-12-14,,"Cricklewood, England",Handley Page Transport,,,Handley Page HP-16,G-EAMA,HP-25,8.0,4.0,0.0,crashed tree take fog,50.0,4.0,1920,12,14,1,349
44,1920-12-24,,"Barcelona, Spain",Aeropostale,,,Breguet 14,F-ALBO,,1.0,1.0,0.0,nan,100.0,0.0,1920,12,24,4,359
45,1921-02-03,,"Mendotta, Minnisota",US Aerial Mail Service,,,De Havilland DH-4,130,,1.0,1.0,0.0,nan,100.0,0.0,1921,2,3,3,34
46,1921-02-09,,"La Crosse, Wisconsin",US Aerial Mail Service,,,Junkers F-13,301,,3.0,3.0,0.0,nan,100.0,0.0,1921,2,9,2,40
47,1921-02-15,,Off Gibraltar,Aeropostale,,,Breguet 14,F-ALBA,,2.0,2.0,0.0,nan,100.0,0.0,1921,2,15,1,46
48,1921-02-22,,"Elko, Nevada",US Aerial Mail Service,,,De Havilland DH-4,67,,1.0,1.0,0.0,nan,100.0,0.0,1921,2,22,1,53
49,1921-04-06,,"Point Cook, Australia",Military - Royal Australian Air Force,,,,H3021,,2.0,1.0,0.0,nan,50.0,1.0,1921,4,6,2,96
50,1921-04-21,,"Mitchel Field, NY",US Aerial Mail Service,,,De Havilland DH-4,160,,1.0,1.0,0.0,nan,100.0,0.0,1921,4,21,3,111
51,1921-04-29,,"Cleveland, Ohio",US Aerial Mail Service,,,De Havilland DH-4,196,,1.0,1.0,0.0,nan,100.0,0.0,1921,4,29,4,119
52,1921-05-17,,"Rock Springs, Wyoming",US Aerial Mail Service,,,,176,,1.0,1.0,0.0,nan,100.0,0.0,1921,5,17,1,137
53,1921-07-16,,"San Francisco, California",US Aerial Mail Service,,,De Havilland DH-4,222,,1.0,1.0,0.0,nan,100.0,0.0,1921,7,16,5,197
54,1921-08-14,,"Toulouse, France",Aeropostale,,,Breguet 14,F-ALBI,,2.0,2.0,0.0,nan,100.0,0.0,1921,8,14,6,226
55,1921-08-24,17:40,"River Humber, England",Military - Royal Airship Works,,,Royal Airship Works ZR-2 (airship),R-38,R-38,46.0,46.0,1.0,crashed due structural failure followed two explosions fire attributed faulty design,100.0,0.0,1921,8,24,2,236
56,1921-09-06,,"Paris, France",Franco-Roumaine,,Varsovie - Strasbourg - Paris,Potez IX,F-ADCD,160,5.0,5.0,0.0,crashed making approach le bourget airport paris,100.0,0.0,1921,9,6,1,249
57,1921-12-05,,"Near Murchinson River, Australia",West Australian Airways,,,Bristol 28 Tourer,G-AUDI,6116,3.0,3.0,0.0,nan,100.0,0.0,1921,12,5,0,339
58,1922-01-14,,"Paris, France",Handley Page Transport,,,Handley Page O/10,G-EATN,HP-43,5.0,5.0,5.0,crashed le bourget field,100.0,0.0,1922,1,14,5,14
59,1922-02-21,,"Near Norfolk, Virginia",Military - U.S. Army Air Service,,,Dirigible Roma (airship),,,45.0,34.0,0.0,crashed height 500 ft experiencing control problems cause malfunctioning controls,75.55555555555556,11.0,1922,2,21,1,52
60,1922-04-07,,"Grandvilliers, France",Daimler Airways / Grands Express Aeriens,,,de Havilland DH-18 / Farman F-60 Goliath,G-EAOW/FGEAD,4,7.0,7.0,0.0,midair collision occurred poor visibility approximately 18 miles north beauvais france first commercial midair collision aviation history two killed de havilland five faman f 60,100.0,0.0,1922,4,7,4,97
61,1922-04-08,,"Pao Ting Fou, China",,,,,,,17.0,17.0,0.0,seventeen aboard chinese nationals,100.0,0.0,1922,4,8,5,98
62,1922-04-13,,"Brooklands, England",Vickers,,,Vickers Viking,G-EBBZ,,3.0,3.0,0.0,nan,100.0,0.0,1922,4,13,3,103
63,1925-10-01,,"Nittany Mt, Ohio",US Aerial Mail Service,,,De Havilland DH-4,385,,1.0,1.0,0.0,nan,100.0,0.0,1925,10,1,3,274
64,1922-06-03,,"Off Folkestone, Kent, England",Cie des Messageries Aeriennes,,,Bleriot Spad 27,F-CMAY,1254,3.0,3.0,0.0,nan,100.0,0.0,1922,6,3,5,154
65,1922-07-26,,"Cadix, Spain",Grands Express Aeriens,,,Breguet 14,,,3.0,3.0,0.0,nan,100.0,0.0,1922,7,26,2,207
66,1922-09-07,,"Indianapolis, Indiana",US Aerial Mail Service,,,De Havilland DH-4,227,,1.0,1.0,0.0,nan,100.0,0.0,1922,9,7,3,250
67,1922-10-02,,"Venice, Italy",,,,de Havilland DH-9,G-EAYT,,4.0,4.0,0.0,nan,100.0,0.0,1922,10,2,0,275
68,1922-10-25,,"Larache, Morocco",Grands Express Aeriens,,,Breguet 14,,,2.0,2.0,0.0,nan,100.0,0.0,1922,10,25,2,298
69,1922-12-03,,"Fez, Morocco",Grands Express Aeriens,,,Breguet 14,,,1.0,1.0,0.0,nan,100.0,0.0,1922,12,3,6,337
70,1923-01-10,,"Ajaccio, France",Amee de l'Air,,,Lioré-et-Olivier H-13,F-AEIB,,4.0,3.0,0.0,nan,75.0,1.0,1923,1,10,2,10
71,1923-01-17,,"Barcelona, Spain",Grands Express Aeriens,,,Breguet 14,F-ALJU,,1.0,1.0,0.0,nan,100.0,0.0,1923,1,17,2,17
72,1923-01-18,,"Cheyenne, Wyoming",US Aerial Mail Service,,,De Havilland DH-4,223,,1.0,1.0,0.0,nan,100.0,0.0,1923,1,18,3,18
73,1923-02-26,,"Meadville, Pennsylvania",US Aerial Mail Service,,,De Havilland DH-4,291,,1.0,1.0,0.0,nan,100.0,0.0,1923,2,26,0,57
74,1923-05-14,,"Monsures, France",Grands Express Aeriens,,,Farman F-60 Goliath,F-AEBY,,6.0,6.0,0.0,nan,100.0,0.0,1923,5,14,0,134
75,1923-08-27,,"Bucharest, Romania",Campagnie France Roumaine,,,Blériot Spad 46,F-AEGN,,2.0,2.0,0.0,nan,100.0,0.0,1923,8,27,0,239
76,1923-09-07,,"Colton, Ohio",US Aerial Mail Service,,,De Havilland DH-4,283,,1.0,1.0,0.0,nan,100.0,0.0,1923,9,7,4,250
77,1923-09-14,,"Berks, England",Daimler Airways,,,de Havilland DH-34,G-EBBS,29,6.0,6.0,0.0,nan,100.0,0.0,1923,9,14,4,257
78,1923-11-18,,Russia,CCCP,,,Junkers F-13,D-257,,4.0,2.0,0.0,nan,50.0,2.0,1923,11,18,6,322
79,1923-12-06,,"Castalia, Ohio",US Aerial Mail Service,,,De Havilland DH-4,318,,1.0,1.0,0.0,nan,100.0,0.0,1923,12,6,3,340
80,1923-12-23,02:30,Over the Mediterranean Sea,Military - French Navy,,Toulon - Algiers,Zeppelin Dixmunde (airship),L-72,,52.0,52.0,0.0,crashed flight toulon france algiers algeria last known radio contact reported ship nearly fuel battling strong winds struck lightning,100.0,0.0,1923,12,23,6,357
81,1923-12-24,,"Egbert, WY",US Aerial Mail Service,,,De Havilland DH-4,315,,1.0,1.0,0.0,nan,100.0,0.0,1923,12,24,0,358
82,1924-03-07,,"Grampian, Pennsylvania",US Aerial Mail Service,,,De Havilland DH-4,327,,1.0,1.0,0.0,nan,100.0,0.0,1924,3,7,4,67
83,1924-04-24,,Over the English Channel,KLM Royal Dutch Airlines,,"Lympne, England - Rotterdam, The Netherlands",Fokker F.III,H-NABS,1535,3.0,3.0,0.0,nan,100.0,0.0,1924,4,24,3,115
84,1924-06-08,,"Barranquilla, Colombia",SCADTA,,,Junkers F-13,A16,,3.0,3.0,0.0,nan,100.0,0.0,1924,6,8,6,160
85,1924-08-01,,United States,US Aerial Mail Service,,,De Havilland DH-4,297,,1.0,1.0,0.0,nan,100.0,0.0,1924,8,1,4,214
86,1924-11-06,,"Cabrerolles, France",Grands Express Aeriens,,,,F-AFBD,,1.0,1.0,0.0,nan,100.0,0.0,1924,11,6,3,311
87,1924-12-21,,"Goshen, Indiana",US Aerial Mail Service,,,De Havilland DH-4,311,,1.0,1.0,0.0,nan,100.0,0.0,1924,12,21,6,356
88,1924-12-24,,"Purley, England",Imperial Airways,,,de Havilland DH-34B,G-EBBX,36,8.0,8.0,0.0,shortly taking witnesses observed puff white smoke plane nose dived ground fuel starvation captain stewart seven passengers killed attempted forced landing,100.0,0.0,1924,12,24,2,359
89,1925-03-22,,"Near Tiflies, Georgia, USSR",Zakavia,,,Junkers F-13,R-RECA,590,5.0,5.0,0.0,nan,100.0,0.0,1925,3,22,6,81
90,1925-04-25,,"Alicante, Spain",Grands Express Aeriens,,,Breguet 14,,,4.0,4.0,0.0,nan,100.0,0.0,1925,4,25,5,115
91,1925-05-25,,"Alicante, Spain",Lignes Aeriennes Latecoere,,,Breguet 14,F-AFBB,,2.0,2.0,0.0,nan,100.0,0.0,1925,5,25,0,145
92,1925-06-25,,"Landrécies, France",KLM Royal Dutch Airlines,,,Fokker (KLM)  F.III,H-NABM,KLM-2,4.0,4.0,0.0,crashed poor weather,100.0,0.0,1925,6,25,3,176
